_geojson,flow,cost,type,fid,v/c
"{""type"":""Feature"",""properties"":{""flow"":3841.3787841486455,""cost"":0,""type"":""pedestrian_path"",""fid"":21,""v/c"":1.2804595947162152},""geometry"":{""type"":""LineString"",""coordinates"":[[151.2092985,-33.86108989999999,0],[151.2093435,-33.8610854,0],[151.2094117,-33.8610392,0],[151.2094947,-33.8609945,0],[151.2095267,-33.8609772,0],[151.2095565,-33.8609612,0]]}}",3841.3787841486455,0,pedestrian_path,21,1.2804595947162152
"{""type"":""Feature"",""properties"":{""flow"":0,""cost"":0,""type"":""pedestrian_path"",""fid"":22,""v/c"":0},""geometry"":{""type"":""LineString"",""coordinates"":[[151.21022,-33.8558567,0],[151.2102113,-33.8557745,0],[151.2102115,-33.8557194,0],[151.2101961,-33.85566009999999,0],[151.2101687,-33.85562659999999,0],[151.2101426,-33.855596,0],[151.2101117,-33.8555733,0],[151.2100601,-33.8555334,0],[151.2100061,-33.8555282,0],[151.20991548717816,-33.85543597461614,0]]}}",0,0,pedestrian_path,22,0
"{""type"":""Feature"",""properties"":{""flow"":21222.08342897919,""cost"":0,""type"":""pedestrian_path"",""fid"":23,""v/c"":7.0740278096597295},""geometry"":{""type"":""LineString"",""coordinates"":[[151.2108707773238,-33.861565751313286,0],[151.210878,-33.8615034,0],[151.210878,-33.8615034,0]]}}",21222.08342897919,0,pedestrian_path,23,7.0740278096597295
"{""type"":""Feature"",""properties"":{""flow"":36371.37202671963,""cost"":0,""type"":""pedestrian_path"",""fid"":24,""v/c"":12.123790675573211},""geometry"":{""type"":""LineString"",""coordinates"":[[151.2104173,-33.8610874,0],[151.21041489726716,-33.86115725952106,0]]}}",36371.37202671963,0,pedestrian_path,24,12.123790675573211
"{""type"":""Feature"",""properties"":{""flow"":22573.984136656676,""cost"":0,""type"":""pedestrian_path"",""fid"":25,""v/c"":7.5246613788855585},""geometry"":{""type"":""LineString"",""coordinates"":[[151.20789360873727,-33.85653108957326,0],[151.2081517,-33.8561736,0],[151.2084813,-33.85570950000001,0],[151.2087378,-33.85536219999999,0],[151.2088199,-33.8552486,0]]}}",22573.984136656676,0,pedestrian_path,25,7.5246613788855585
"{""type"":""Feature"",""properties"":{""flow"":29221.595117279714,""cost"":0,""type"":""pedestrian_path"",""fid"":26,""v/c"":9.740531705759905},""geometry"":{""type"":""LineString"",""coordinates"":[[151.2106044,-33.861481,0],[151.2106044,-33.861481,0],[151.2103788,-33.8614595,0]]}}",29221.595117279714,0,pedestrian_path,26,9.740531705759905
"{""type"":""Feature"",""properties"":{""flow"":1028.3685328867018,""cost"":0,""type"":""pedestrian_path"",""fid"":27,""v/c"":0.3427895109622339},""geometry"":{""type"":""LineString"",""coordinates"":[[151.2092523,-33.8613545,0],[151.2092478,-33.8613909,0],[151.209241,-33.861454,0],[151.2092379,-33.8614779,0]]}}",1028.3685328867018,0,pedestrian_path,27,0.3427895109622339
"{""type"":""Feature"",""properties"":{""flow"":15035.804018863882,""cost"":0,""type"":""pedestrian_path"",""fid"":28,""v/c"":5.011934672954627},""geometry"":{""type"":""LineString"",""coordinates"":[[151.2109225,-33.8611379,0],[151.21091261853508,-33.861212559957615,0]]}}",15035.804018863882,0,pedestrian_path,28,5.011934672954627
"{""type"":""Feature"",""properties"":{""flow"":162.54545329509062,""cost"":0,""type"":""pedestrian_path"",""fid"":29,""v/c"":0.054181817765030206},""geometry"":{""type"":""LineString"",""coordinates"":[[151.2092985,-33.86108989999999,0],[151.2093505,-33.8605889,0],[151.2093667,-33.8604594,0],[151.2094418,-33.8604639,0],[151.2094804,-33.8604692,0]]}}",162.54545329509062,0,pedestrian_path,29,0.054181817765030206
"{""type"":""Feature"",""properties"":{""flow"":18826.837861908607,""cost"":0,""type"":""pedestrian_path"",""fid"":30,""v/c"":6.275612620636203},""geometry"":{""type"":""LineString"",""coordinates"":[[151.2097574,-33.8594671,0],[151.2098042,-33.859379,0],[151.210054,-33.85913580000001,0],[151.2103732,-33.857443,0],[151.2104188,-33.8573606,0],[151.2101827,-33.8572069,0],[151.2098042220162,-33.857202301192785,0]]}}",18826.837861908607,0,pedestrian_path,30,6.275612620636203
"{""type"":""Feature"",""properties"":{""flow"":15981.732324553079,""cost"":0,""type"":""pedestrian_path"",""fid"":31,""v/c"":5.32724410818436},""geometry"":{""type"":""LineString"",""coordinates"":[[151.2114052,-33.8615328,0],[151.2113381,-33.8615438,0],[151.2112778,-33.8615628,0],[151.2112757794739,-33.86160768365368,0]]}}",15981.732324553079,0,pedestrian_path,31,5.32724410818436
"{""type"":""Feature"",""properties"":{""flow"":17164.769179073744,""cost"":0,""type"":""pedestrian_path"",""fid"":32,""v/c"":5.721589726357915},""geometry"":{""type"":""LineString"",""coordinates"":[[151.2123299,-33.8613645,0],[151.2121159,-33.8613353,0]]}}",17164.769179073744,0,pedestrian_path,32,5.721589726357915
"{""type"":""Feature"",""properties"":{""flow"":19646.301175520945,""cost"":0,""type"":""pedestrian_path"",""fid"":33,""v/c"":6.548767058506981},""geometry"":{""type"":""LineString"",""coordinates"":[[151.2114481,-33.861179499999984,0],[151.211437,-33.8612677,0]]}}",19646.301175520945,0,pedestrian_path,33,6.548767058506981
